TeamNameSpelling,TeamID
alabama a&m;,1105
arkansas little rock,1114
arkansas pine bluff,1115
bethune cookman,1126
cal st. bakersfield,1167
dixie st.,1469
florida a&m;,1197
houston christian,1223
iupu fort wayne,1236
illinois chicago,1227
liu,1254
louisiana lafayette,1418
louisiana monroe,1419
louisiana st.,1261
md baltimore county,1420
maryland eastern shore,1271
mississippi valley st.,1290
missouri kansas city,1282
nevada las vegas,1424
nj inst of technology,1312
north carolina a&t;,1299
prairie view a&m;,1341
queens,1474
saint francis,1384
southeast missouri st.,1369
southeast missouri,1369
st. francis ny,1383
st. francis pa,1384
st. louis,1387
texas a&m corpus chris,1394
st. thomas,1472
tarleton st.,1470
tennessee martin,1404
texas a&m;,1401
texas a&m; commerce,1477
texas a&m; corpus chris,1394
texas el paso,1431
texas pan american,1410
ut rio grande valley,1410
virginia military inst,1440
wisconsin green bay,1453
wisconsin milwaukee,1454
