Team 1 Team 2,Pred1,Pred2,,Team 2 Team 1,Pred2,Pred1
arizona arkansas little rock,0.558584036,0.441415964,,arkansas little rock arizona,0.441415964,0.558584036
arizona austin peay,0.962367233,0.037632767,,austin peay arizona,0.037632767,0.962367233
arizona baylor,0.412769466,0.587230534,,baylor arizona,0.587230534,0.412769466
arizona buffalo,0.863563917,0.136436083,,buffalo arizona,0.136436083,0.863563917
arizona butler,0.57365155,0.42634845,,butler arizona,0.42634845,0.57365155
arizona california,0.532887372,0.467112628,,california arizona,0.467112628,0.532887372
arizona chattanooga,0.736827064,0.263172936,,chattanooga arizona,0.263172936,0.736827064
arizona cincinnati,0.689577676,0.310422324,,cincinnati arizona,0.310422324,0.689577676
arizona colorado,0.591362508,0.408637492,,colorado arizona,0.408637492,0.591362508
arizona connecticut,0.447654353,0.552345647,,connecticut arizona,0.552345647,0.447654353
arizona cal st. bakersfield,0.898335826,0.101664174,,cal st. bakersfield arizona,0.101664174,0.898335826
arizona dayton,0.642273111,0.357726889,,dayton arizona,0.357726889,0.642273111
arizona duke,0.289410745,0.710589255,,duke arizona,0.710589255,0.289410745
arizona fairleigh dickinson,0.990496538,0.009503462,,fairleigh dickinson arizona,0.009503462,0.990496538
arizona florida gulf coast,0.950560464,0.049439536,,florida gulf coast arizona,0.049439536,0.950560464
arizona fresno st.,0.731702334,0.268297666,,fresno st. arizona,0.268297666,0.731702334
arizona gonzaga,0.42345583,0.57654417,,gonzaga arizona,0.57654417,0.42345583
arizona hampton,0.984098537,0.015901463,,hampton arizona,0.015901463,0.984098537
arizona hawaii,0.698333385,0.301666615,,hawaii arizona,0.301666615,0.698333385
arizona holy cross,0.987412533,0.012587467,,holy cross arizona,0.012587467,0.987412533
arizona indiana,0.373279353,0.626720647,,indiana arizona,0.626720647,0.373279353
arizona iona,0.882347619,0.117652381,,iona arizona,0.117652381,0.882347619
arizona iowa,0.560429136,0.439570864,,iowa arizona,0.439570864,0.560429136
arizona iowa st.,0.410047329,0.589952671,,iowa st. arizona,0.589952671,0.410047329
arizona kansas,0.110655833,0.889344167,,kansas arizona,0.889344167,0.110655833
arizona kentucky,0.246840408,0.753159592,,kentucky arizona,0.753159592,0.246840408
arizona maryland,0.340432631,0.659567369,,maryland arizona,0.659567369,0.340432631
arizona miami fl,0.229709965,0.770290035,,miami fl arizona,0.770290035,0.229709965
arizona michigan,0.467776351,0.532223649,,michigan arizona,0.532223649,0.467776351
arizona michigan st.,0.250087319,0.749912681,,michigan st. arizona,0.749912681,0.250087319
arizona middle tennessee,0.804111809,0.195888191,,middle tennessee arizona,0.195888191,0.804111809
arizona north carolina,0.158059533,0.841940467,,north carolina arizona,0.841940467,0.158059533
arizona northern iowa,0.610403382,0.389596618,,northern iowa arizona,0.389596618,0.610403382
arizona notre dame,0.377661574,0.622338426,,notre dame arizona,0.622338426,0.377661574
arizona oklahoma,0.252803002,0.747196998,,oklahoma arizona,0.747196998,0.252803002
arizona oregon,0.200015529,0.799984471,,oregon arizona,0.799984471,0.200015529
arizona oregon st.,0.659332363,0.340667637,,oregon st. arizona,0.340667637,0.659332363
arizona pittsburgh,0.56099639,0.43900361,,pittsburgh arizona,0.43900361,0.56099639
arizona providence,0.398512728,0.601487272,,providence arizona,0.601487272,0.398512728
