Team 1 Team 2,Pred1,Pred2,,Team 2 Team 1,Pred2,Pred1
arizona arkansas little rock,0.553630463,0.446369537,,arkansas little rock arizona,0.446369537,0.553630463
arizona austin peay,0.942615925,0.057384075,,austin peay arizona,0.057384075,0.942615925
arizona baylor,0.515157776,0.484842224,,baylor arizona,0.484842224,0.515157776
arizona buffalo,0.812838871,0.187161129,,buffalo arizona,0.187161129,0.812838871
arizona butler,0.549485697,0.450514303,,butler arizona,0.450514303,0.549485697
arizona california,0.711656344,0.288343656,,california arizona,0.288343656,0.711656344
arizona chattanooga,0.71977163,0.28022837,,chattanooga arizona,0.28022837,0.71977163
arizona cincinnati,0.664768455,0.335231545,,cincinnati arizona,0.335231545,0.664768455
arizona colorado,0.652079826,0.347920174,,colorado arizona,0.347920174,0.652079826
arizona connecticut,0.561449523,0.438550477,,connecticut arizona,0.438550477,0.561449523
arizona cal st. bakersfield,0.875467175,0.124532825,,cal st. bakersfield arizona,0.124532825,0.875467175
arizona dayton,0.669754714,0.330245286,,dayton arizona,0.330245286,0.669754714
arizona duke,0.338519456,0.661480544,,duke arizona,0.661480544,0.338519456
arizona fairleigh dickinson,0.945101925,0.054898075,,fairleigh dickinson arizona,0.054898075,0.945101925
arizona florida gulf coast,0.901686978,0.098313022,,florida gulf coast arizona,0.098313022,0.901686978
arizona fresno st.,0.766034278,0.233965722,,fresno st. arizona,0.233965722,0.766034278
arizona gonzaga,0.487541338,0.512458662,,gonzaga arizona,0.512458662,0.487541338
arizona hampton,0.888332674,0.111667326,,hampton arizona,0.111667326,0.888332674
arizona hawaii,0.728398495,0.271601505,,hawaii arizona,0.271601505,0.728398495
arizona holy cross,0.96579329,0.03420671,,holy cross arizona,0.03420671,0.96579329
arizona indiana,0.39974184,0.60025816,,indiana arizona,0.60025816,0.39974184
arizona iona,0.78558427,0.21441573,,iona arizona,0.21441573,0.78558427
arizona iowa,0.511833577,0.488166423,,iowa arizona,0.488166423,0.511833577
